tick,event,task
184,ISR_ENTER,idle
185,ISR_EXIT,idle
185,ISR_ENTER,idle
186,ISR_EXIT,idle
186,ISR_ENTER,idle
187,ISR_EXIT,idle
187,ISR_ENTER,idle
188,ISR_EXIT,idle
188,ISR_ENTER,idle
189,ISR_EXIT,idle
189,ISR_ENTER,idle
190,ISR_EXIT,idle
190,ISR_ENTER,idle
191,ISR_EXIT,idle
191,ISR_ENTER,idle
192,ISR_EXIT,idle
192,ISR_ENTER,idle
193,ISR_EXIT,idle
193,ISR_ENTER,idle
194,ISR_EXIT,idle
194,ISR_ENTER,idle
195,ISR_EXIT,idle
195,ISR_ENTER,idle
196,ISR_EXIT,idle
196,ISR_ENTER,idle
197,ISR_EXIT,idle
197,ISR_ENTER,idle
198,ISR_EXIT,idle
198,ISR_ENTER,idle
199,ISR_EXIT,idle
199,ISR_ENTER,idle
200,THREAD_READY,task3
200,SWITCH,task3
200,ISR_EXIT,idle
200,SWITCH,idle
200,ISR_ENTER,idle
201,ISR_EXIT,idle
201,ISR_ENTER,idle
202,ISR_EXIT,idle
202,ISR_ENTER,idle
203,ISR_EXIT,idle
203,ISR_ENTER,idle
204,ISR_EXIT,idle
204,ISR_ENTER,idle
205,ISR_EXIT,idle
205,ISR_ENTER,idle
206,ISR_EXIT,idle
206,ISR_ENTER,idle
207,ISR_EXIT,idle
207,ISR_ENTER,idle
208,ISR_EXIT,idle
208,ISR_ENTER,idle
209,ISR_EXIT,idle
209,ISR_ENTER,idle
210,THREAD_READY,task1
210,THREAD_READY,task2
210,SWITCH,task1
210,ISR_EXIT,idle
210,SEM_WAIT,task1
210,SEM_WAIT,task1
210,SEM_SIGNAL,task1
210,SEM_SIGNAL,task1
210,SWITCH,task2
210,SEM_WAIT,task2
210,SEM_WAIT,task2
210,SEM_SIGNAL,task2
210,SEM_SIGNAL,task2
210,SWITCH,idle
210,ISR_ENTER,idle
211,ISR_EXIT,idle
211,ISR_ENTER,idle
212,ISR_EXIT,idle
212,ISR_ENTER,idle
213,ISR_EXIT,idle
213,ISR_ENTER,idle
214,ISR_EXIT,idle
214,ISR_ENTER,idle
215,ISR_EXIT,idle
215,ISR_ENTER,idle
216,ISR_EXIT,idle
216,ISR_ENTER,idle
217,ISR_EXIT,idle
217,ISR_ENTER,idle
218,ISR_EXIT,idle
218,ISR_ENTER,idle
219,ISR_EXIT,idle
219,ISR_ENTER,idle
220,ISR_EXIT,idle
220,ISR_ENTER,idle
221,ISR_EXIT,idle
221,ISR_ENTER,idle
222,ISR_EXIT,idle
222,ISR_ENTER,idle
223,ISR_EXIT,idle
223,ISR_ENTER,idle
224,ISR_EXIT,idle
224,ISR_ENTER,idle
225,ISR_EXIT,idle
225,ISR_ENTER,idle
226,ISR_EXIT,idle
226,ISR_ENTER,idle
227,ISR_EXIT,idle
227,ISR_ENTER,idle
228,ISR_EXIT,idle
228,ISR_ENTER,idle
229,ISR_EXIT,idle
229,ISR_ENTER,idle
230,ISR_EXIT,idle
230,ISR_ENTER,idle
231,ISR_EXIT,idle
231,ISR_ENTER,idle
232,ISR_EXIT,idle
232,ISR_ENTER,idle
233,ISR_EXIT,idle
233,ISR_ENTER,idle
234,ISR_EXIT,idle
234,ISR_ENTER,idle
235,ISR_EXIT,idle
235,ISR_ENTER,idle
236,ISR_EXIT,idle
236,ISR_ENTER,idle
237,ISR_EXIT,idle
237,ISR_ENTER,idle
238,ISR_EXIT,idle
238,ISR_ENTER,idle
239,ISR_EXIT,idle
239,ISR_ENTER,idle
240,THREAD_READY,task1
240,SWITCH,task1
240,ISR_EXIT,idle
240,SEM_WAIT,task1
240,SEM_WAIT,task1
240,SEM_SIGNAL,task1
240,SEM_SIGNAL,task1
240,SWITCH,idle
240,ISR_ENTER,idle
241,ISR_EXIT,idle
241,ISR_ENTER,idle
242,ISR_EXIT,idle
242,ISR_ENTER,idle
243,ISR_EXIT,idle
243,ISR_ENTER,idle
244,ISR_EXIT,idle
244,ISR_ENTER,idle
245,THREAD_READY,task2
245,SWITCH,task2
245,ISR_EXIT,idle
245,SEM_WAIT,task2
245,SEM_WAIT,task2
245,SEM_SIGNAL,task2
245,SEM_SIGNAL,task2
245,SWITCH,idle
245,ISR_ENTER,idle
246,ISR_EXIT,idle
246,ISR_ENTER,idle
247,ISR_EXIT,idle
247,ISR_ENTER,idle
248,ISR_EXIT,idle
248,ISR_ENTER,idle
249,ISR_EXIT,idle
249,ISR_ENTER,idle
250,THREAD_READY,task3
250,SWITCH,task3
250,ISR_EXIT,idle
250,SWITCH,idle
250,ISR_ENTER,idle
251,ISR_EXIT,idle
251,ISR_ENTER,idle
252,ISR_EXIT,idle
252,ISR_ENTER,idle
253,ISR_EXIT,idle
253,ISR_ENTER,idle
254,ISR_EXIT,idle
254,ISR_ENTER,idle
255,ISR_EXIT,idle
255,ISR_ENTER,idle
256,ISR_EXIT,idle
256,ISR_ENTER,idle
257,ISR_EXIT,idle
257,ISR_ENTER,idle
258,ISR_EXIT,idle
258,ISR_ENTER,idle
259,ISR_EXIT,idle
259,ISR_ENTER,idle
260,ISR_EXIT,idle
260,ISR_ENTER,idle
261,ISR_EXIT,idle
261,ISR_ENTER,idle
262,ISR_EXIT,idle
262,ISR_ENTER,idle
263,ISR_EXIT,idle
263,ISR_ENTER,idle
264,ISR_EXIT,idle
264,ISR_ENTER,idle
265,ISR_EXIT,idle
265,ISR_ENTER,idle
266,ISR_EXIT,idle
266,ISR_ENTER,idle
267,ISR_EXIT,idle
267,ISR_ENTER,idle
268,ISR_EXIT,idle
268,ISR_ENTER,idle
269,ISR_EXIT,idle
269,ISR_ENTER,idle
270,THREAD_READY,task1
270,SWITCH,task1
270,ISR_EXIT,idle
270,SEM_WAIT,task1
270,SEM_WAIT,task1
270,SEM_SIGNAL,task1
270,SEM_SIGNAL,task1
270,SWITCH,idle
270,ISR_ENTER,idle
